YEAR,AIRPORT_NAME,IATA_CODE,ICAO_CODE,TRAFFIC
"1993","aalborg","AAL","EKYT",""
"1993","aarhus","AAR","EKAH",""
"1993","adana","ADA","LTAF","5945"
"1993","agen-la garenne","AGF","LFBA",""
"1993","agri","AGQ","LGAG",""
"1993","alderney","ACI","EGJA",""
"1993","alicante","ALC","LEAL",""
"1993","alta","ALF","ENAT",""
"1993","antalya","AYT","LTAI",""
"1993","aosta","AOT","LIMW",""
"1993","arad","MFQ","DRRM",""
"1993","araxos","GPA","LGRX",""
"1993","asturias","OVD","LEAS",""
"1993","astypalaia","JTY","LGPL",""
"1993","augsburg","AGB","EDMA",""
"1993","aurillac","AUR","LFLW",""
"1993","avignon-caumont","AVN","LFMV",""
"1993","badajoz","BJZ","LEBZ",""
"1993","bardufoss","BDU","ENDU",""
"1993","barra","\N","SBBW",""
"1993","barth","BBH","EDBH",""
"1993","basel","BSL","LFSB",""
"1993","bastia-poretta","BIA","LFKB",""
"1993","batman","BAL","LTCJ",""
"1993","bayreuth","BYU","EDQD",""
"1993","beja","\N","LPBJ",""
"1993","bembridge","BBP","EGHJ","57"
"1993","benbecula","BEB","EGPL","3"
"1993","berlin-tegel","TXL","EDDT","16603"
"1993","biggin hill","BQH","EGKB",""
"1993","bilbao","BIO","LEBB","1312"
"1993","billund","BLL","EKBI",""
"1993","birmingham","BHX","EGBB",""
"1993","blackbushe","BBS","EGLK",""
"1993","blackpool","BLK","EGNH",""
"1993","bolzano","BZO","LIPB",""
"1993","borkum","BMK","EDWR",""
"1993","bournemouth","BOH","EGHH",""
"1993","bremen","BRE","EDDW",""
"1993","bremerhaven","BRV","EDWB","12930"
"1993","bristol","BRS","EGGD",""
"1993","bristol filton","FZO","EGTG","13483"
"1993","brize norton","BZZ","EGVN",""
"1993","brussels","BRU","EBBR",""
"1993","buochs","BXO","LSZC",""
"1993","burgas","BOJ","LBBG",""
"1993","caen-carpiquet","CFR","LFRK",""
"1993","calvi-sainte-catherine","CLY","LFKC",""
"1993","cambridge","YCB","CYCB",""
"1993","campbeltown","CAL","EGEC","1869"
"1993","cannes-mandelieu","CEQ","LFMD",""
"1993","cardiff","CWL","EGFF",""
"1993","carlisle","CAX","EGNC","8676"
"1993","cascais","\N","LPCS","2"
"1993","cherbourg-maupertus","CER","LFRC",""
"1993","chichester/goodwood","\N","EGHR",""
"1993","comiso","CIY","LICB",""
"1993","cork","ORK","EICK",""
"1993","corvo","CVU","LPCR",""
