Airports,Passengers(PAX),Domestic(PAX),Intl(PAX),Departures,Seats per Aircraft
Atlanta GA (ATL),50685574,44763207,5922367,430299,139
Los Angeles CA (LAX),41838394,29492843,12345551,333003,150
Chicago IL (ORD),38723494,32326627,6396867,424868,110
Dallas/Fort Worth TX (DFW),31944822,27870888,4073934,316708,123
Denver CO (DEN),30184026,28905065,1278961,277554,127
New York NY (JFK),29681381,13573477,16107904,216772,168
San Francisco CA (SFO),27091897,20561302,6530595,213638,157
Las Vegas NV (LAS),23536326,21785184,1751142,176956,159
Seattle WA (SEA),22675295,20229293,2446002,204149,132
Charlotte NC (CLT),22256628,20734247,1522381,257055,107
Orlando FL (MCO),21706032,18872581,2833451,155921,162
Newark NJ (EWR),21625449,15326870,6298579,210417,123
Phoenix AZ (PHX),21597513,20574818,1022695,193733,135
Miami FL (MIA),20747454,10296343,10451111,182951,141
Houston TX (IAH),19678502,14615953,5062549,213541,114
Boston MA (BOS),18810204,15391163,3419041,184803,124
Minneapolis MN (MSP),18478761,17025649,1453112,191377,118
Detroit MI (DTW),17119842,15364985,1754857,191233,110
Fort Lauderdale FL (FLL),15903280,12380941,3522339,128096,150
New York NY (LGA),14623902,13566621,1057281,176719,104
Philadelphia PA (PHL),14324174,12553714,1770460,170400,104
Baltimore MD (BWI),13237599,12707397,530202,117909,137
Salt Lake City UT (SLC),11664659,11222360,442299,126146,112
Washington DC (DCA),11543328,11365632,177696,143817,101
San Diego CA (SAN),11290310,10834606,455704,94487,144
Chicago IL (MDW),11170533,10766291,404242,93900,145
Washington DC (IAD),11077634,7320099,3757535,111669,123
Honolulu HI (HNL),10096176,7430649,2665527,92073,134
Tampa FL (TPA),9676889,9236507,440382,80945,143
Portland OR (PDX),9466577,9098136,368441,98725,115
Dallas TX (DAL),7930421,7925332,5089,69883,142
St. Louis MO (STL),7442736,7318250,124486,86848,108
Nashville TN (BNA),7119470,7032020,87450,75401,116
Austin TX (AUS),6968463,6804711,163752,63174,134
Houston TX (HOU),6762375,6311099,451276,59743,143
Oakland CA (OAK),6558080,6181543,376537,66238,127
San Jose CA (SJC),6246641,5817959,428682,60594,133
New Orleans LA (MSY),6131632,6042945,88687,55200,136
Kansas City MO (MCI),5801816,5768646,33170,58118,124
Raleigh/Durham NC (RDU),5747300,5582857,164443,65881,107
Sacramento CA (SMF),5455439,5343355,112084,53175,128
Santa Ana CA (SNA),5132119,4997835,134284,45422,136
San Antonio TX (SAT),4489909,4298517,191392,45064,125
Cleveland OH (CLE),4481845,4393355,88490,53059,106
Indianapolis IN (IND),4415754,4375248,40506,67545,82
Fort Myers FL (RSW),4395638,4215766,179872,34944,151
Pittsburgh PA (PIT),4373044,4247683,125361,61529,91
San Juan PR (SJU),4187182,3742098,445084,53169,91
Cincinnati OH (CVG),3816634,3684585,132049,67363,73
Columbus OH (CMH),3741307,3698549,42758,47918,101
Milwaukee WI (MKE),3487860,3421109,66751,41296,105
Kahului HI (OGG),3437781,3257548,180233,40303,107
Hartford CT (BDL),3177578,3092331,85247,36014,106
Palm Beach FL (PBI),3132368,3053733,78635,27762,138
Jacksonville FL (JAX),2726987,2716631,10356,30859,108
Anchorage AK (ANC),2551285,2512902,38383,80292,43
Albuquerque NM (ABQ),2481815,2478864,2951,30013,104
Burbank CA (BUR),2464652,2464496,156,29641,114
Buffalo NY (BUF),2360456,2358366,2090,29697,98
Omaha NE (OMA),2293797,2293262,535,28341,102
Ontario CA (ONT),2290536,2221680,68856,35522,81
Memphis TN (MEM),2138068,2126350,11718,95712,28
Reno NV (RNO),1966795,1947053,19742,22860,111
Charleston SC (CHS),1964704,1964347,357,23802,99
Oklahoma City OK (OKC),1955646,1955339,307,24597,103
Providence RI (PVD),1948124,1887188,60936,21607,110
Richmond VA (RIC),1839001,1838806,195,27935,82
Long Beach CA (LGB),1832716,1832702,14,17949,134
Boise ID (BOI),1815767,1815646,121,24260,91
Kona HI (KOA),1767192,1694751,72441,23818,96
Louisville KY (SDF),1716244,1716039,205,67221,34
Norfolk VA (ORF),1709527,1709079,448,24786,87
Spokane WA (GEG),1705327,1704995,332,23634,88
Tucson AZ (TUS),1687514,1685121,2393,19242,106
Guam TT (GUM),1613194,162278,1450916,12994,162
Lihue HI (LIH),1523987,1499557,24430,16238,121
El Paso TX (ELP),1489944,1471413,18531,19422,101
Sanford FL (SFB),1426695,1294624,132071,10524,166
Grand Rapids MI (GRR),1424122,1424115,7,20213,86
Tulsa OK (TUL),1408217,1408059,158,18932,100
Albany NY (ALB),1403256,1403020,236,21510,78
Birmingham AL (BHM),1384367,1383936,431,19650,92
Des Moines IA (DSM),1274308,1274284,24,17420,91
Rochester NY (ROC),1209942,1200800,9142,20273,74
Savannah GA (SAV),1201759,1194295,7464,15944,94
Myrtle Beach SC (MYR),1153320,1147156,6164,11026,129
Palm Springs CA (PSP),1061202,871868,189334,11751,114
Greer SC (GSP),1057127,1057036,91,16508,79
St. Petersburg FL (PIE),1026204,1016519,9685,7509,165
Syracuse NY (SYR),1018246,1009733,8513,18901,68
Little Rock AR (LIT),990340,990340,0,14327,88
Knoxville TN (TYS),974671,974431,240,18180,71
Manchester NH (MHT),971803,971779,24,13753,87
Madison WI (MSN),949693,949682,11,14083,86
Dayton OH (DAY),937013,937013,0,17589,72
Portland ME (PWM),926403,925958,445,14822,76
Greensboro/High Point NC (GSO),887596,887590,6,18604,62
Colorado Springs CO (COS),855384,855384,0,11261,89
Pensacola FL (PNS),850373,850292,81,11784,89
Wichita KS (ICT),808055,808028,27,13111,77


