AIRLINE_NAME,FOOD_RATE,ENTERTAINMENT_RATE,SEAT_RATE,SERVICE_RATE,MONEY_RATE
Qantas Airways,3,3,4,4,3
QantasLink,2,1,3,3,3
Qatar Airways,4,4,4,4,4
Qazaq Air,5,0,4,5,5
Wamos Air,2,1,2,2,2
WestJet Airlines,2,2,3,3,3
Wideroe,2,0,3,4,3
Winair,0,0,3,2,1
Wingo,2,0,3,4,5
Wings Air,1,1,2,2,2
Wizz Air,2,1,2,3,3
WOW air,2,1,2,2,2
Eastar Jet,2,1,3,3,4
Eastern Airways,2,1,2,3,2
Easyfly,3,0,3,3,3
easyJet,3,1,3,3,3
Edelweiss Air,4,4,3,4,4
Egyptair,3,2,3,3,3
El Al Israel Airlines,3,2,3,3,3
Ellinair,4,3,4,5,4
Emirates,3,4,4,3,3
Eritrean Airlines,0,0,0,0,4
Estonian Air,3,2,4,4,4
Ethiopian Airlines,3,2,3,3,3
Etihad Airways,3,3,3,3,3
euroAtlantic Airways,2,2,2,2,2
Europe Airpost,4,3,4,4,5
Eurowings,2,2,3,3,2
EVA Air,4,4,4,4,4
Evelop Airlines,2,1,2,3,3
Ravn Alaska,4,1,3,4,3
Regent Airways,3,1,3,3,4
Regional Express,3,0,3,4,3
Rossiya Airlines,3,1,3,4,4
Royal Air Maroc,3,2,3,3,3
Royal Brunei Airlines,4,3,4,4,4
Royal Jordanian Airlines,3,3,3,3,3
Rwandair,3,2,3,3,3
Ryanair,2,1,3,3,3
T'Way Air,0,1,3,4,4
TAAG Angola Airlines,3,3,4,3,3
TACA Airlines,3,2,4,4,4
TACA Regional,0,0,0,0,2
TACV Cabo Verde Airlines,2,1,3,4,3
TAG Airlines,4,1,5,5,3
Tailwind Airlines,0,0,2,2,3
Tajik Air,0,0,0,0,0
TAM Airlines,3,3,3,3,3
TAME,2,1,2,2,1
Tame Línea Aérea Del Ecuador,1,1,2,2,2
TAP Portugal,3,2,3,3,3
TAR Aerolineas,2,1,3,4,3
TAROM Romanian,4,2,4,4,4
Thai AirAsia,3,3,3,4,3
Thai Airways,4,3,4,4,4
Thai Lion Air,2,1,2,3,3
Thai Smile Airways,3,3,3,4,3
Thomas Cook Airlines,3,2,3,3,3
Thomas Cook Airlines Belgium,5,3,4,4,3
Thomas Cook Airlines Scandinavia,3,3,3,3,3
Thomson Airways,3,2,3,3,3
Tianjin Airlines,3,2,3,4,4
Tibet Airlines,3,3,4,4,4
Tigerair,2,1,3,3,3
Tigerair Australia,3,1,3,3,3
Tigerair Taiwan,5,3,4,4,3
Titan Airways,3,2,3,3,3
Transaero Airlines,2,1,3,3,3
TransAsia Airways,0,0,0,0,4
Transavia,2,2,3,3,3
Trigana Air,2,0,3,3,3
Tropic Air Belize,0,0,4,5,5
TUI Airways,3,3,3,4,3
TUIfly,2,2,2,3,3
TUIfly Nordic,4,2,1,4,1
Tunisair,3,1,3,3,3
Turkish Airlines,4,3,3,3,3
Turkmenistan Airlines,3,1,3,3,3
Yakutia Airlines,3,0,3,3,4
Yangon Airways,4,0,5,4,4
Yemenia,0,0,0,0,4
Yeti Airlines,4,0,4,5,5
Ukraine International,2,1,3,3,3
United Airlines,2,2,2,2,2
UP by El Al,2,2,2,2,3
Ural Airlines,3,0,3,4,3
US Airways,2,2,3,3,3
US-Bangla Airlines,5,0,3,3,3
Utair Aviation,2,1,2,2,3
Uzbekistan Airways,3,2,3,3,3
Iberia,3,3,3,3,3
Iberia Express,2,2,2,3,2
Icelandair,3,3,3,4,3
IndiGo,3,1,3,4,4
Insel Air,2,2,2,2,2
Interjet,2,2,3,3,2
InterSky,4,1,4,5,4
Iran Air,4,2,4,4,4
Iran Aseman Airlines,4,0,3,4,3
Iraqi Airways,4,5,5,5,5
Island Air,1,1,2,2,2
Israir Airlines,3,3,3,4,3
Okay Airways,2,0,3,2,4
Olympic Air,4,1,4,4,4
Oman Air,4,4,4,4,4
Omni Air International,3,2,3,4,3
Onur Air,2,1,2,2,3
Openskies,1,1,2,2,2
Orient Thai Airlines,1,0,2,2,3
Pakistan Intl Airlines,3,2,3,3,3
PAL Express,2,1,2,3,3
Passaredo,1,1,2,2,3
PAWA Dominicana,3,0,3,5,3
Peach Aviation,3,0,3,3,3
Pegasus Airlines,2,1,2,3,3
PenAir,3,0,4,3,2
Peruvian Airlines,2,1,2,2,2
Petroleum Air Services,5,0,5,4,5
Philippine Airlines,3,3,3,4,3
Phuket Air,0,0,0,0,0
Pobeda Airlines,1,1,2,2,2
Porter Airlines,3,1,3,3,3
Precision Air,3,1,3,3,3
Primera Air,1,2,4,3,3
Privilege Style,3,1,2,3,2
Adria Airways,3,2,4,4,3
Aegean Airlines,4,2,4,4,4
Aer Lingus,3,2,3,4,3
Aero VIP,0,0,4,2,3
Aerocaribbean,0,0,0,0,4
Aeroflot Russian Airlines,3,3,3,4,4
Aerolineas Argentinas,3,2,3,3,3
Aeromar,3,1,3,3,2
Aeromexico,3,3,3,3,3
Aerosur,3,2,2,3,2
Africa World Airlines,4,0,3,4,3
Afriqiyah Airways,0,0,0,0,3
Aigle Azur,1,1,3,3,3
Air Algerie,3,2,2,3,3
Air Arabia,2,1,2,2,2
Air Astana,4,4,4,4,4
Air Austral,3,3,3,4,3
Air Bagan,4,2,4,5,4
Air Berlin,3,3,3,3,3
Air Botswana,2,0,2,2,2
Air Burkina,4,0,3,4,4
Air Busan,3,2,4,5,4
Air Cairo,3,2,3,3,3
Air Canada,3,3,3,3,3
Air Canada rouge,2,2,2,3,2
Air Caraibes,2,2,2,2,2
Air China,2,2,3,3,3
Air Corsica,3,0,3,4,4
Air Costa,3,0,5,4,5
Air Dolomiti,4,2,4,4,4
Air Europa,2,2,3,3,3
Air France,3,3,3,3,3
Air Greenland,2,2,2,3,2
Air Iceland Connect,5,0,5,5,5
Air India,3,3,3,3,3
Air India Express,2,1,2,3,2
Air Italy,4,2,3,3,3
Air Juan,0,0,4,2,2
Air KBZ,3,0,4,4,4
Air Koryo,3,2,4,4,4
Air Labrador,0,0,3,4,4
Air Macau,2,1,3,3,2
Air Madagascar,2,1,3,3,2
Air Malawi,0,0,0,0,0
Air Malta,2,1,3,3,3
Air Mauritius,3,2,2,3,3
Air Mediterranee,4,1,3,3,3
Air Memphis,0,0,0,0,2
Air Moldova,3,1,2,3,3
Air Namibia,4,2,4,4,3
Air New Zealand,3,3,3,4,3
Air Niugini,3,3,3,3,2
Air North Yukon's Airline,5,0,4,5,3
Air Nostrum,2,0,4,3,3
Air Panama,2,0,2,2,2
Air Pegasus,0,0,4,3,2
Air Rarotonga,5,0,5,5,5
Air Serbia,3,2,3,4,3
Air Seychelles,3,3,3,3,3
Air Tahiti Nui,3,2,2,3,3
Air Transat,3,3,3,3,3
Air Vanuatu,3,2,3,4,3
Air Zimbabwe,4,1,3,4,2
AirAsia,3,1,3,3,3
AirAsia India,3,1,3,3,2
AirAsia Philippines,3,1,3,3,3
AirAsia X,3,1,4,4,4
AirAsia Zest,0,0,3,3,3
airBaltic,2,1,3,3,3
airblue,3,1,2,3,3
Aircalin,4,3,3,4,4
Airlink,4,0,4,4,4
Airnorth,2,0,2,3,3
AirSWIFT,0,0,3,4,3
Alaska Airlines,3,2,3,4,3
Alitalia,3,2,3,3,3
Allegiant Air,2,1,2,3,2
Alliance Airlines,2,1,1,5,4
Amaszonas,2,2,3,2,2
American Airlines,2,2,2,2,2
American Eagle,3,1,3,3,3
ANA All Nippon Airways,4,4,4,5,4
AnadoluJet,1,1,2,2,2
Andes Líneas Aéreas,0,0,1,1,1
Ariana Afghan Airlines,3,0,3,4,5
Arik Air,2,2,2,2,2
Arkefly,1,1,1,1,2
Arkia Israeli Airlines,2,1,2,3,3
Asiana Airlines,4,3,4,4,4
ASKY Airlines,2,0,3,2,2
ATA Airlines,2,0,1,2,2
Atlantic Airways,4,2,4,5,4
Atlasglobal,3,2,3,3,3
Aurigny Air,3,1,3,4,3
Austrian Airlines,3,3,3,4,3
Avianca,3,3,3,3,3
Avianca Brazil,4,4,4,4,3
Avianca Ecuador,3,2,3,3,3
Avior Airlines,1,1,4,2,3
Azerbaijan Airlines,4,3,4,4,4
Azul Airlines,3,3,3,3,3
Azur Air Germany,2,1,1,2,1
S7 Siberia Airlines,3,2,4,4,4
SA Express,2,1,2,2,2
Safarilink,3,0,3,3,2
Safi Airways,1,0,1,2,2
Sansa Airlines,0,1,3,5,3
Santa Barbara Airlines,3,2,2,3,3
SAS Scandinavian,3,2,3,3,3
SATA Air Azores,2,1,2,2,2
SATA International,2,2,2,3,2
SATENA,0,0,3,3,3
