,Airport Name,Annual OTP,No. of operations,Country,Sub Region,Star Rating
0,Nagoya Komaki Airport,94.5,16403,Japan,North East Asia,5*
1,Hilo,91.4,12932,USA,North America,5*
2,Sapporo Okadama Apt,90.4,8847,Japan,North East Asia,5*
3,Santa Cruz de la Palma,90,17632,Spain,Western Europe,5*
4,Kushiro,89.7,10859,Japan,North East Asia,5*
5,Panama City Tocumen International,89.5,134734,Panama,Central America,5*
6,Lihue,89.3,29833,USA,North America,5*
7,Kochi (JP),89.2,14624,Japan,North East Asia,5*
8,Memambetsu,88.9,10348,Japan,North East Asia,5*
9,Minsk International Apt,88.9,42275,Belarus,Eastern/Central Europe,5*
10,Tenerife Norte,88.6,61762,Spain,Western Europe,5*
11,Birmingham Airport,88.5,98849,United Kingdom,Western Europe,5*
12,Dortmund,88.3,14092,Germany,Western Europe,5*
13,Osaka Intl (Itami),88.2,137980,Japan,North East Asia,5*
14,Tampico,88.1,8984,Mexico,Central America,5*
15,Honolulu,87.9,156650,USA,North America,5*
16,Tokushima,87.8,8928,Japan,North East Asia,5*
17,Hanamaki,87.8,8521,Japan,North East Asia,5*
18,Poznan Lawica Apt,87.7,14178,Poland,Eastern/Central Europe,5*
19,Izumo,87.7,8538,Japan,North East Asia,5*
20,Hannover,87.6,49394,Germany,Western Europe,5*
21,U-Tapao,87.5,10615,Thailand,South East Asia,5*
22,Mackay,87.4,9415,Australia,Southwest Pacific,5*
23,Guam Antonio B Won Pat International,87.4,24450,Guam,Southwest Pacific,5*
24,Cardiff,87.3,14715,United Kingdom,Western Europe,5*
25,Chihuahua,87.1,16690,Mexico,Central America,5*
26,Grand Junction,87.1,9087,USA,North America,5*
27,San Jose Cabo,86.7,40575,Mexico,Central America,5*
28,Daegu,86.5,22129,Korea Republic of,North East Asia,5*
29,Salt Lake City,86.5,243683,USA,North America,5*
30,Teresina,86.5,8872,Brazil,Upper South America,5*
31,Doha,86.4,187452,Qatar,Middle East,5*
32,Aomori,86.1,15219,Japan,North East Asia,5*
33,Tokyo Intl (Haneda),86,500013,Japan,North East Asia,5*
34,Akita,85.9,15434,Japan,North East Asia,5*
35,Ko Samui,85.9,31057,Thailand,South East Asia,5*
36,Takamatsu,85.9,13649,Japan,North East Asia,5*
